Name,Count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
HACKETT,19637,7.28,46732.57,79.49,16.65,0.41,0.4,1.43,1.62
MADRIGAL,19632,7.28,46739.85,5.4,0.12,1.07,0.34,0.32,92.75
EUBANKS,19616,7.27,46747.12,76.01,20.24,0.32,0.73,1.52,1.19
SIZEMORE,19607,7.27,46754.39,94.53,2.19,0.24,0.75,1.34,0.94
HILLIARD,19564,7.25,46761.64,67.11,29.59,0.38,0.28,1.49,1.15
HARGROVE,19555,7.25,46768.89,52.69,43.04,0.28,0.46,1.68,1.85
BOUCHER,19554,7.25,46776.14,94.87,1.47,0.47,0.56,1.28,1.36
THOMASON,19549,7.25,46783.38,89.55,6.5,0.26,0.73,1.41,1.57
MELVIN,19523,7.24,46790.62,69.43,26.95,0.4,0.55,1.38,1.29
ROPER,19520,7.24,46797.86,75.77,19.5,0.53,0.58,1.79,1.83
BARNARD,19517,7.23,46805.09,92.27,4,0.32,0.58,1.19,1.64
FONSECA,19513,7.23,46812.33,19.52,1.78,1,0.2,2.85,74.64
PEDERSEN,19510,7.23,46819.56,95.65,0.25,0.58,0.65,1.37,1.5
QUIROZ,19507,7.23,46826.79,4.93,0.24,0.8,0.42,0.49,93.13
WASHBURN,19505,7.23,46834.02,93.66,1.38,0.48,1.65,1.44,1.39
HOLLIDAY,19488,7.22,46841.24,71.24,24.66,0.31,0.75,1.58,1.46
YEE,19483,7.22,46848.47,5.14,0.48,86.48,0.1,5.49,2.31
RUDOLPH,19462,7.21,46855.68,75.94,19.9,0.58,0.34,1.58,1.66
BERMUDEZ,19451,7.21,46862.89,6.51,1.01,3.17,0.19,0.63,88.48
COYLE,19424,7.2,46870.09,95.41,1.18,0.49,0.47,1.23,1.23
GIL,19403,7.19,46877.28,12.42,0.88,1.58,0.22,0.7,84.21
GOODRICH,19399,7.19,46884.48,91.33,4.58,0.43,0.76,1.32,1.58
PINA,19399,7.19,46891.67,10.41,3.94,0.5,0.85,5.87,78.43
ELIAS,19394,7.19,46898.86,47.48,3.81,1.09,0.36,2.06,45.21
LOCKWOOD,19386,7.19,46906.04,89.02,6.02,0.52,1.44,1.46,1.53
CABRAL,19384,7.19,46913.23,49,1.86,3.34,0.32,4.16,41.33
CARRANZA,19375,7.18,46920.41,4.52,0.25,0.92,0.16,0.36,93.79
DUVALL,19369,7.18,46927.59,90.22,5.64,0.43,0.68,1.5,1.53
CORNELIUS,19342,7.17,46934.76,75.21,18.65,0.51,2.66,1.56,1.41
MCCOLLUM,19341,7.17,46941.93,79.28,17.19,0.37,0.52,1.34,1.3
STREET,19322,7.16,46949.09,75.37,20.51,0.36,1.03,1.61,1.12
MCNEAL,19321,7.16,46956.25,45.72,50,0.33,0.69,2.15,1.1
CONNORS,19320,7.16,46963.42,93.64,2.83,0.48,0.77,0.99,1.29
ANGEL,19316,7.16,46970.58,53.17,2.89,1.2,0.42,0.99,41.33
PAULSON,19299,7.15,46977.73,95.69,0.44,0.8,0.55,1.16,1.36
HINSON,19293,7.15,46984.88,84.69,12.37,0.24,0.36,1.04,1.3
KEENAN,19275,7.15,46992.03,94.5,2.13,0.42,0.43,1.13,1.39
SHELDON,19246,7.13,46999.16,92.67,1.9,0.82,1.28,1.56,1.76
FARR,19242,7.13,47006.3,85.43,10.82,0.52,0.51,1.47,1.25
EDDY,19230,7.13,47013.42,92.84,2.88,0.41,1.05,1.2,1.62
SAMUEL,19225,7.13,47020.55,25.19,55.58,11.86,0.97,3.46,2.94
LEDBETTER,19222,7.13,47027.68,86.19,10.13,0.37,0.52,1.39,1.4
RING,19222,7.13,47034.8,87.95,7.22,0.99,0.71,1.57,1.56
BETTS,19209,7.12,47041.92,72.07,23.56,0.53,0.47,1.87,1.5
FONTENOT,19203,7.12,47049.04,78.36,18.39,0.27,0.29,1.26,1.43
GIFFORD,19171,7.11,47056.15,93.66,2.11,0.48,0.64,1.43,1.68
HANNAH,19164,7.1,47063.25,70.59,25.32,0.47,0.56,1.71,1.35
HANLEY,19160,7.1,47070.35,89.68,5.7,0.47,1.12,1.26,1.77
PERSON,19129,7.09,47077.44,47.92,39.88,1.54,1.65,1.72,7.29
FOUNTAIN,19094,7.08,47084.52,64.97,31.06,0.41,0.52,1.63,1.41
LEVIN,19070,7.07,47091.59,96.18,0.79,0.51,0.08,1.03,1.41
STUBBS,19068,7.07,47098.66,67.52,28.05,0.34,0.52,1.59,1.98
HIGHTOWER,19054,7.06,47105.72,53.2,42.3,0.29,0.69,1.98,1.55
MURDOCK,19041,7.06,47112.78,81.56,13.72,0.4,1.16,1.5,1.65
KOEHLER,19037,7.06,47119.84,96.75,0.2,0.49,0.25,0.95,1.36
MA,19030,7.05,47126.89,2.42,0.44,94,0.05,1.76,1.33
ENGLE,19022,7.05,47133.95,95.67,0.56,0.56,0.62,1.13,1.47
SMILEY,19014,7.05,47140.99,64.61,29.78,0.36,1.88,2.06,1.3
CARMICHAEL,19011,7.05,47148.04,74.95,20.96,0.56,0.5,1.58,1.45
SHEFFIELD,18983,7.04,47155.08,79.22,17.49,0.25,0.57,1.28,1.19
LANGSTON,18979,7.04,47162.11,73.71,22.22,0.32,0.75,1.66,1.34
MCCRACKEN,18975,7.03,47169.15,93.84,2.99,0.35,0.37,1.24,1.21
YOST,18959,7.03,47176.18,96.51,0.62,0.51,0.25,0.95,1.17
TROTTER,18946,7.02,47183.2,64.28,31.46,0.38,0.5,2.03,1.35
STORY,18935,7.02,47190.22,85.27,10.69,0.37,0.6,1.45,1.62
STARKS,18911,7.01,47197.23,33.21,61.9,0.32,0.49,2.61,1.46
LUJAN,18892,7,47204.23,9.06,0.2,1.27,3.04,0.89,85.54
BLOUNT,18882,7,47211.23,49.29,46.62,0.27,0.52,1.86,1.44
CODY,18853,6.99,47218.22,79.4,14.11,0.34,2.8,1.72,1.63
RUSHING,18853,6.99,47225.21,78.92,17.4,0.21,0.6,1.33,1.54
BENOIT,18842,6.98,47232.19,85.3,9.98,0.47,0.47,1.95,1.83
HERNDON,18838,6.98,47239.18,80,15.63,0.38,0.57,1.75,1.68
JACOBSEN,18831,6.98,47246.16,96.41,0.16,0.49,0.43,1.1,1.4
NIETO,18817,6.98,47253.13,8.54,0.14,0.93,1.21,0.56,88.61
WISEMAN,18813,6.97,47260.11,90.65,6.07,0.33,0.58,1.19,1.17
LAYTON,18781,6.96,47267.07,89.87,5.67,0.39,0.59,1.22,2.27
EPPS,18780,6.96,47274.03,33.3,61.54,0.28,1.14,2.31,1.42
SHIPLEY,18770,6.96,47280.99,93.14,2.84,0.46,0.77,1.53,1.25
LEYVA,18769,6.96,47287.95,5.48,0.2,0.94,0.44,0.39,92.55
REEDER,18768,6.96,47294.9,85.48,10.41,0.39,1.03,1.36,1.33
BRAND,18750,6.95,47301.85,85.09,8.82,0.45,0.43,1.16,4.04
ROLAND,18742,6.95,47308.8,73.11,21.57,0.42,0.7,1.87,2.32
FITCH,18740,6.95,47315.75,86.2,8.75,0.47,1.52,1.23,1.84
RICO,18735,6.95,47322.69,10.34,0.74,1.75,0.61,0.62,85.94
NAPIER,18726,6.94,47329.63,85.93,10.42,0.34,0.49,1.57,1.25
CRONIN,18710,6.94,47336.57,96.48,0.27,0.52,0.21,1.05,1.46
MCQUEEN,18701,6.93,47343.5,60.16,36.12,0.29,0.44,1.59,1.4
PAREDES,18689,6.93,47350.43,6.17,0.43,3.16,0.16,0.62,89.46
TRENT,18679,6.92,47357.35,80.91,15.21,0.46,0.55,1.58,1.29
CHRISTIANSEN,18676,6.92,47364.28,95.68,0.24,0.53,0.85,1.09,1.61
PETTIT,18653,6.91,47371.19,92.48,2.99,0.51,1.13,1.44,1.45
SPANGLER,18653,6.91,47378.11,96,0.74,0.47,0.35,1.24,1.2
LANGFORD,18650,6.91,47385.02,80.37,15.7,0.49,0.35,1.65,1.44
BENAVIDES,18617,6.9,47391.92,6.5,0.18,0.52,0.18,0.33,92.29
PENN,18601,6.9,47398.82,53.81,38.56,1.23,1.16,2.23,3.01
PAIGE,18600,6.89,47405.71,43.37,52.27,0.44,0.35,2.03,1.54
WEIR,18588,6.89,47412.6,89.72,6.38,0.44,0.32,1.32,1.82
DIETZ,18568,6.88,47419.49,96.31,0.34,0.51,0.3,0.87,1.67
PRATER,18565,6.88,47426.37,83.13,13.02,0.3,0.8,1.48,1.28
BREWSTER,18554,6.88,47433.25,74.61,19.75,0.39,0.73,1.88,2.64
LOUIS,18552,6.88,47440.12,28.37,57.08,2.8,1.41,6.44,3.9
DIEHL,18538,6.87,47446.99,96.5,0.7,0.31,0.28,0.89,1.32
PACK,18538,6.87,47453.87,84.36,10.18,1.73,0.87,1.53,1.33
SPAULDING,18527,6.87,47460.73,85.65,8.65,0.51,1.68,2.02,1.49
AVILES,18521,6.87,47467.6,5.49,0.83,1.28,0.15,0.44,91.81
ERNST,18521,6.87,47474.47,96.33,0.35,0.54,0.33,1.06,1.4
NOWAK,18515,6.86,47481.33,97.1,0.17,0.39,0.17,0.85,1.32
OLVERA,18512,6.86,47488.19,4.48,0.19,0.12,0.28,0.23,94.71
ROCK,18510,6.86,47495.05,86.13,7.95,0.38,2.46,1.36,1.73
MANSFIELD,18498,6.86,47501.91,89.17,6.48,0.46,0.71,1.51,1.68
AQUINO,18472,6.85,47508.76,14.94,0.46,31.17,0.38,3,50.05
OGDEN,18461,6.84,47515.6,92.06,3.57,0.43,0.74,1.31,1.9
STACY,18461,6.84,47522.44,91.35,4.33,0.51,0.99,1.31,1.51
RIZZO,18445,6.84,47529.28,94.16,0.3,0.33,0.24,0.95,4.02
SYLVESTER,18445,6.84,47536.12,75.94,18.86,0.76,0.68,1.98,1.78
GILLIS,18438,6.83,47542.95,80.35,15.58,0.4,0.96,1.31,1.41
SANDS,18430,6.83,47549.79,81.82,12.64,0.63,1.47,1.39,2.04
MACHADO,18429,6.83,47556.62,44.92,0.71,1.45,0.39,4.08,48.46
LOVETT,18421,6.83,47563.45,66.84,29.08,0.36,0.4,1.62,1.69
DUONG,18404,6.82,47570.27,1.33,0.19,95.98,0.08,1.76,0.66
HYATT,18396,6.82,47577.09,89.85,6.04,0.43,0.76,1.48,1.43
LANDIS,18388,6.82,47583.9,95.52,1.65,0.39,0.38,1.09,0.96
PLATT,18376,6.81,47590.72,88.35,7.78,0.43,0.59,1.26,1.58
BUSTAMANTE,18363,6.81,47597.52,7.39,0.32,3.07,0.52,0.72,87.98
HEDRICK,18359,6.81,47604.33,93.7,2.76,0.35,0.76,0.94,1.49
PRITCHETT,18350,6.8,47611.13,71.05,24.05,0.23,1.56,1.72,1.38
GASTON,18348,6.8,47617.93,53.89,39.01,0.51,0.35,2.11,4.13
DOBSON,18342,6.8,47624.73,79.88,16.12,0.37,0.61,1.58,1.45
CAUDILL,18336,6.8,47631.53,96.54,0.31,0.3,0.45,1.09,1.31
TACKETT,18332,6.8,47638.33,95.62,0.67,0.27,0.87,1.32,1.24
BATEMAN,18313,6.79,47645.11,89.17,7.23,0.42,0.44,1.38,1.36
LANDERS,18308,6.79,47651.9,84.18,11.49,0.34,0.57,1.42,2
CARMONA,18289,6.78,47658.68,7.01,0.69,0.97,0.26,0.54,90.52
GIPSON,18289,6.78,47665.46,51.06,44.68,0.16,0.9,1.86,1.33
URIBE,18283,6.78,47672.24,6.13,0.15,0.22,0.41,0.37,92.71
MCNEILL,18272,6.77,47679.01,65.94,29.55,0.3,1.53,1.37,1.3
LEDFORD,18264,6.77,47685.78,94.15,2.17,0.32,1.13,1.33,0.9
MIMS,18248,6.76,47692.55,44.8,51.33,0.31,0.25,1.73,1.58
ABEL,18243,6.76,47699.31,90.18,4.18,0.66,0.83,1.46,2.67
GOLD,18237,6.76,47706.07,91.81,3.82,0.64,0.24,1.32,2.18
SMALLWOOD,18227,6.76,47712.83,70.85,24.89,0.3,0.97,1.59,1.4
THORNE,18222,6.75,47719.58,78.14,16.73,0.44,0.96,1.51,2.22
MCHUGH,18206,6.75,47726.33,96.41,0.67,0.46,0.16,1.02,1.28
DICKENS,18181,6.74,47733.07,65.3,30.6,0.33,0.8,1.61,1.36
LEUNG,18140,6.72,47739.79,2.03,0.48,94.9,0.03,2.01,0.56
TOBIN,18135,6.72,47746.52,90.68,4.63,0.64,0.25,1.37,2.44
KOWALSKI,18134,6.72,47753.24,96.9,0.28,0.31,0.2,1.03,1.28
MEDEIROS,18121,6.72,47759.96,85.14,0.33,3.06,0.14,7.27,4.07
COPE,18110,6.71,47766.67,92.41,3.84,0.45,0.62,1.36,1.3
KRAUS,18107,6.71,47773.38,96.63,0.22,0.41,0.24,1.02,1.48
QUEZADA,18107,6.71,47780.09,3.13,0.2,0.37,0.14,0.25,95.9
OVERTON,18094,6.71,47786.8,69.18,26.61,0.3,0.53,1.85,1.54
MONTALVO,18085,6.7,47793.5,7.96,0.74,0.32,0.22,0.51,90.26
STALEY,18081,6.7,47800.21,83.91,12.27,0.49,0.59,1.37,1.36
WOODY,18069,6.7,47806.91,75.33,16.56,0.27,4.83,1.7,1.3
HATHAWAY,18041,6.69,47813.59,91.49,4.63,0.49,0.54,1.32,1.52
OSORIO,18037,6.69,47820.28,4.6,0.6,1.5,0.19,0.43,92.67
LAIRD,18031,6.68,47826.96,90.96,5.28,0.51,0.4,1.24,1.61
DOBBS,18021,6.68,47833.64,84,11.71,0.35,0.82,1.46,1.66
CAPPS,18013,6.68,47840.32,94.72,1.3,0.33,0.85,1.53,1.27
PUTNAM,17990,6.67,47846.99,95.38,1.48,0.51,0.36,1.07,1.22
LAY,17979,6.66,47853.65,74.4,7.19,12.61,1.06,2.15,2.6
FRANCISCO,17976,6.66,47860.32,38.06,3.96,18.43,6.11,2.59,30.85
ADAIR,17969,6.66,47866.98,85.5,8.58,0.5,1.96,1.78,1.69
BERNSTEIN,17969,6.66,47873.64,96.18,0.72,0.61,0.11,0.91,1.47
HUTTON,17961,6.66,47880.3,85.57,10.09,0.48,0.53,1.8,1.53
BURKETT,17959,6.66,47886.96,88.2,8.32,0.28,0.53,1.3,1.36
RHOADES,17952,6.65,47893.61,93.57,1.93,0.47,0.87,1.49,1.67
RICHEY,17950,6.65,47900.26,89.19,7.44,0.32,0.5,1.08,1.48
YANEZ,17950,6.65,47906.92,5.74,0.17,0.41,0.35,0.36,92.97
BLEDSOE,17934,6.65,47913.57,76.12,19.74,0.42,0.71,1.49,1.51
MCCAIN,17933,6.65,47920.21,66.77,28.85,0.36,0.45,1.75,1.83
BEYER,17910,6.64,47926.85,96.81,0.2,0.63,0.23,0.85,1.28
CATES,17907,6.64,47933.49,88.38,7.19,0.54,0.83,1.33,1.73
ROCHE,17905,6.64,47940.13,83.22,3.69,0.6,0.26,1.27,10.96
SPICER,17901,6.64,47946.77,83.55,12.69,0.4,0.59,1.36,1.41
QUEEN,17881,6.63,47953.39,77.41,18.23,0.34,1.16,1.47,1.39
DOTY,17874,6.63,47960.02,93.54,2.98,0.42,0.48,1.08,1.51
DARLING,17855,6.62,47966.64,89.44,6.44,0.58,0.54,1.48,1.51
DARBY,17854,6.62,47973.26,66.11,30.3,0.36,0.48,1.4,1.36
SUMNER,17837,6.61,47979.87,89.66,5.93,0.39,1.1,1.5,1.42
KINCAID,17833,6.61,47986.48,87.55,8.57,0.48,0.4,1.4,1.59
HAY,17824,6.61,47993.09,87.23,6.81,2.58,0.45,1.29,1.65
GROSSMAN,17811,6.6,47999.69,96.28,0.31,0.58,0.17,1.26,1.39
LACEY,17811,6.6,48006.29,73.58,22.15,0.36,0.48,1.65,1.77
WILKES,17797,6.6,48012.89,71.2,25.04,0.31,0.61,1.53,1.3
HUMPHRIES,17785,6.59,48019.48,81.6,14.93,0.34,0.42,1.23,1.48
PAZ,17776,6.59,48026.07,9.24,0.33,3.61,0.33,0.78,85.72
DARNELL,17775,6.59,48032.66,89.16,7.18,0.37,0.51,1.4,1.39
KEYS,17763,6.58,48039.25,51.92,42.84,0.28,0.95,2.28,1.73
KYLE,17750,6.58,48045.82,81.98,13.39,0.54,0.52,1.88,1.69
LACKEY,17749,6.58,48052.4,85.5,10.12,0.38,0.83,1.59,1.58
VOGT,17739,6.58,48058.98,95.59,0.68,0.56,0.24,1.12,1.82
LOCKLEAR,17730,6.57,48065.55,19.9,2.76,0.14,72.98,3.16,1.07
KISER,17693,6.56,48072.11,92.77,4.18,0.36,0.5,1.02,1.18
PRESLEY,17687,6.56,48078.67,77.01,18.86,0.5,0.9,1.43,1.31
BRYSON,17680,6.55,48085.22,79.47,16.4,0.41,0.6,1.47,1.65
BERGMAN,17671,6.55,48091.77,95.87,0.8,0.45,0.54,0.94,1.39
PEOPLES,17664,6.55,48098.32,39.95,55.93,0.18,0.49,2.29,1.16
FAIR,17658,6.55,48104.87,67.85,28.29,0.41,0.4,1.71,1.33
MCCLENDON,17614,6.53,48111.4,40.57,54.83,0.3,0.69,2.12,1.5
CORLEY,17609,6.53,48117.92,76.67,19.35,0.32,0.68,1.34,1.64
PRADO,17586,6.52,48124.44,7.65,0.48,3.06,0.15,0.64,88.01
CHRISTIE,17582,6.52,48130.96,82.52,10.99,0.95,1.92,1.79,1.84
DELONG,17575,6.52,48137.47,95.08,0.83,0.52,0.84,1.21,1.52
SKAGGS,17569,6.51,48143.99,94.63,1.42,0.31,0.72,1.63,1.29
DILL,17562,6.51,48150.5,89.92,6.17,0.55,0.77,1.24,1.36
SHEARER,17545,6.5,48157,93.18,3.29,0.6,0.4,1.2,1.32
JUDD,17532,6.5,48163.5,90.42,5.62,0.74,0.5,1.29,1.43
STAPLETON,17529,6.5,48170,87.44,8.81,0.42,0.41,1.31,1.61
FLAHERTY,17513,6.49,48176.49,96.6,0.29,0.46,0.18,0.98,1.5
CASILLAS,17498,6.49,48182.98,5.46,0.26,0.29,0.39,0.34,93.25
PINTO,17488,6.48,48189.46,54.21,2.1,3.57,3.7,3.65,32.77
HAYWOOD,17485,6.48,48195.94,47.38,48.34,0.31,0.45,1.92,1.61
YOUNGBLOOD,17485,6.48,48202.42,71.53,22.6,0.26,1.75,2.53,1.33
TONEY,17481,6.48,48208.9,56.94,37.84,0.31,1.7,1.88,1.32
RICKS,17474,6.48,48215.38,48.51,47.87,0.27,0.3,1.55,1.5
GRANADOS,17463,6.47,48221.85,4.37,0.29,0.65,0.28,0.44,93.97
CRUM,17452,6.47,48228.32,87.75,8.9,0.34,0.46,1.21,1.33
TRIPLETT,17422,6.46,48234.78,68.02,28.18,0.32,0.55,1.66,1.27
SORIANO,17418,6.46,48241.24,10.75,0.65,21.61,0.25,1.77,64.97
WAITE,17415,6.46,48247.69,87.79,8.09,0.53,0.55,1.65,1.4
HOFF,17408,6.45,48254.15,94.54,2.1,0.56,0.45,1.21,1.14
ANAYA,17405,6.45,48260.6,6.14,0.25,0.64,0.69,0.49,91.79
CRENSHAW,17402,6.45,48267.05,54.59,41.29,0.24,0.47,1.91,1.49
JUNG,17395,6.45,48273.5,38.63,0.62,57.15,0.13,2.16,1.31
CANALES,17381,6.44,48279.94,7.37,0.69,0.43,0.23,0.45,90.82
CAGLE,17380,6.44,48286.38,93,3.1,0.26,1.06,1.44,1.13
DENNY,17366,6.44,48292.82,84.83,6.78,0.56,4.29,1.75,1.79
MARCUS,17360,6.44,48299.26,80.09,11.91,0.81,0.6,1.52,5.07
BERMAN,17346,6.43,48305.69,94.64,1.33,0.67,0.16,1.07,2.13
MUNSON,17345,6.43,48312.12,88.91,6.53,0.78,0.83,1.49,1.46
OCAMPO,17334,6.43,48318.54,3.91,0.14,15.11,0.22,1.09,79.53
BAUMAN,17328,6.42,48324.97,95.69,0.69,0.51,0.43,1.25,1.43
CORCORAN,17321,6.42,48331.39,95.29,0.3,0.5,0.55,1.07,2.3
KEEN,17320,6.42,48337.81,91.99,4.3,0.67,0.53,1.31,1.2
ZIMMER,17315,6.42,48344.23,96.56,0.33,0.49,0.44,0.99,1.18
FRIEND,17312,6.42,48350.64,87.74,7.34,0.36,0.89,1.44,2.24
ORNELAS,17278,6.4,48357.05,6.6,0.19,0.28,0.36,0.49,92.09
VARNER,17274,6.4,48363.45,82.79,13.84,0.39,0.5,1.48,1
PELLETIER,17267,6.4,48369.85,96.58,0.3,0.34,0.41,1.11,1.27
VERNON,17267,6.4,48376.25,78.73,15.9,0.45,0.5,1.95,2.47
BLUM,17262,6.4,48382.65,95.96,0.39,0.45,0.16,0.93,2.1
ALBRECHT,17256,6.4,48389.05,96.96,0.2,0.54,0.16,0.82,1.32
CULVER,17231,6.39,48395.44,85.2,10.61,0.37,0.61,1.43,1.78
SCHUSTER,17221,6.38,48401.82,96.1,0.46,0.69,0.4,0.87,1.48
CUELLAR,17217,6.38,48408.2,7.73,0.32,0.24,0.33,0.37,91
MCCORD,17216,6.38,48414.59,82.01,13.78,0.26,1,1.48,1.46
SHULTZ,17204,6.38,48420.96,96.04,0.81,0.51,0.39,0.92,1.33
MCRAE,17203,6.38,48427.34,54.97,41,0.34,0.33,1.76,1.6
MORELAND,17173,6.37,48433.71,76.61,18.9,0.37,0.82,1.76,1.53
CALVERT,17169,6.36,48440.07,90.63,5.72,0.42,0.71,1.11,1.41
WILLIAM,17164,6.36,48446.43,34.04,59.01,1.61,0.67,2.33,2.34
WHITTINGTON,17163,6.36,48452.79,81.62,14.54,0.26,0.54,1.65,1.39
ECKERT,17161,6.36,48459.16,96.43,0.27,0.44,0.36,1.1,1.4
KEENE,17161,6.36,48465.52,87.31,8.03,0.51,1,1.64,1.52
MOHR,17153,6.36,48471.88,96.27,0.55,0.47,0.41,0.91,1.39
HANKS,17141,6.35,48478.23,85.46,9.86,0.32,1.36,1.36,1.65
KIMBLE,17138,6.35,48484.58,61.91,34.25,0.42,0.64,1.42,1.37
CAVANAUGH,17137,6.35,48490.94,92.97,2.68,0.46,1.31,1.07,1.51
CROWELL,17136,6.35,48497.29,81.21,13.88,0.74,0.56,1.83,1.77
RUSS,17136,6.35,48503.64,73.59,22.44,0.37,0.55,1.7,1.34
FELICIANO,17112,6.34,48509.98,8.74,1.14,5.04,0.13,1.1,83.85
CRAIN,17110,6.34,48516.33,87.52,7.95,0.41,0.94,1.44,1.75
BUSCH,17089,6.33,48522.66,94.28,2.7,0.42,0.29,0.95,1.36
MCCORMACK,17074,6.33,48528.99,93.8,1.78,0.47,0.47,1.46,2.03
DRUMMOND,17032,6.31,48535.3,68.81,27.14,0.35,0.28,1.88,1.56
OMALLEY,17027,6.31,48541.62,96.9,0.24,0.52,0.22,1.02,1.1
ALDRICH,17017,6.31,48547.92,93.76,1.96,0.67,0.83,1.21,1.57
LUKE,17016,6.31,48554.23,75.28,14.14,5.39,1.06,2.13,2
GRECO,17013,6.31,48560.54,95.09,0.48,0.66,0.09,1.02,2.67
MOTT,17013,6.31,48566.85,86.49,9.57,0.41,0.58,1.35,1.59
OAKES,17008,6.3,48573.15,91.62,3.79,0.51,1.16,1.45,1.47
MALLORY,16987,6.3,48579.45,64.47,30.94,0.36,0.86,1.94,1.42
MCLAIN,16978,6.29,48585.74,88.94,7.03,0.34,0.85,1.47,1.37
BURROWS,16972,6.29,48592.03,86.95,8.77,0.59,0.83,1.43,1.43
OTERO,16956,6.29,48598.32,9.86,0.64,0.59,0.85,0.65,87.41
ALLRED,16951,6.28,48604.6,94.57,1.94,0.32,0.48,1.15,1.53
EASON,16923,6.27,48610.88,60.7,35.34,0.51,0.4,1.65,1.41
FINNEY,16919,6.27,48617.15,72.09,23.28,0.54,0.59,2.09,1.41
WELLER,16916,6.27,48623.42,95.58,0.95,0.55,0.43,1.12,1.37
WALDRON,16908,6.27,48629.69,89.56,5.9,0.42,0.63,1.58,1.91
CHAMPION,16900,6.26,48635.95,74.51,19.01,0.37,0.37,1.36,4.37
JEFFERS,16895,6.26,48642.21,80.92,14.31,0.46,0.75,1.88,1.68
COON,16890,6.26,48648.47,93.17,2.17,0.53,1.44,1.31,1.39
ROSENTHAL,16881,6.26,48654.73,94.37,2.01,0.47,0.15,1.31,1.68
HUDDLESTON,16872,6.25,48660.99,86.1,9.06,0.38,0.92,1.64,1.9
SOLANO,16869,6.25,48667.24,10.78,0.53,1.71,0.23,0.6,86.14
HIRSCH,16864,6.25,48673.49,95.84,0.93,0.48,0.15,0.8,1.8
AKINS,16860,6.25,48679.74,65.59,30.34,0.26,0.73,1.7,1.39
OLIVARES,16857,6.25,48685.99,4.64,0.14,1.04,0.18,0.28,93.72
SONG,16856,6.25,48692.24,2.08,0.39,95.12,0.06,1.91,0.43
SNEED,16855,6.25,48698.49,57.58,37.74,0.37,1.1,1.71,1.51
BENEDICT,16846,6.24,48704.73,93.29,1.25,0.81,1.23,1.4,2.02
BAIN,16845,6.24,48710.98,87.56,7.82,0.65,0.77,1.64,1.57
OKEEFE,16829,6.24,48717.21,96,0.34,0.5,0.27,1.12,1.77
HIDALGO,16824,6.24,48723.45,12.08,0.25,4.3,0.18,0.68,82.51
MATOS,16819,6.23,48729.69,17.14,1.46,0.27,0.15,1.43,79.55
STALLINGS,16819,6.23,48735.92,73.66,22.84,0.27,0.41,1.32,1.49
PARIS,16813,6.23,48742.15,79.49,10.96,1.21,0.5,1.9,5.94
GAMEZ,16812,6.23,48748.39,4.87,0.19,0.46,0.27,0.34,93.86
KENNY,16811,6.23,48754.62,90.52,5.5,0.71,0.61,1.1,1.56
QUIGLEY,16810,6.23,48760.85,94.61,1.66,0.5,0.51,1.15,1.56
MARRERO,16783,6.22,48767.07,8.95,2.03,0.42,0.09,0.46,88.04
FAGAN,16779,6.22,48773.29,86.93,9.7,0.56,0.27,1.17,1.38
DUTTON,16774,6.22,48779.51,91.95,3.98,0.47,0.72,1.38,1.5
ATWOOD,16754,6.21,48785.72,92.38,3.66,0.35,0.61,1.33,1.67
PAPPAS,16754,6.21,48791.93,95.23,0.42,0.42,0.36,1.57,2.01
BAGLEY,16739,6.21,48798.13,79.58,16.68,0.29,0.64,1.42,1.4
MCGOVERN,16739,6.21,48804.34,96.51,0.44,0.48,0.21,0.99,1.39
LUNSFORD,16736,6.2,48810.54,88.16,8.08,0.31,0.75,1.45,1.25
MOSELEY,16736,6.2,48816.75,79.48,16.92,0.38,0.47,1.24,1.52
READ,16736,6.2,48822.95,92.13,2.78,0.47,0.41,1.31,2.91
OAKLEY,16733,6.2,48829.15,87.13,8.8,0.36,0.54,1.61,1.56
ASHBY,16723,6.2,48835.35,82.46,13.23,0.38,0.59,1.51,1.82
GRANGER,16721,6.2,48841.55,79.28,16.03,0.28,0.56,1.45,2.4
SHAVER,16716,6.2,48847.75,92.34,3.85,0.38,0.71,1.14,1.58
HOPE,16710,6.19,48853.94,72.07,23.03,0.65,0.72,1.86,1.66
COE,16706,6.19,48860.14,84.6,10.44,1.2,0.47,1.57,1.72
BURROUGHS,16702,6.19,48866.33,71.54,24.43,0.41,0.43,1.53,1.66
HELM,16700,6.19,48872.52,89.4,6.83,0.65,0.41,1.49,1.22
AMBROSE,16697,6.19,48878.71,83.36,11.73,1.07,0.87,1.19,1.78
NEUMANN,16697,6.19,48884.9,96.01,0.25,0.59,0.34,1.05,1.76
MICHAELS,16696,6.19,48891.09,93.02,2.9,0.5,0.31,1.38,1.89
PRESCOTT,16686,6.19,48897.27,81.09,13.55,0.88,0.86,1.71,1.9
LIGHT,16671,6.18,48903.45,92.89,3.14,0.65,0.76,1.16,1.39
DUMAS,16660,6.18,48909.63,56.38,37.55,0.55,0.36,1.98,3.18
FLOOD,16652,6.17,48915.8,81.07,14.1,0.49,1.23,1.45,1.65
STRINGER,16634,6.17,48921.97,77.67,18.85,0.45,0.41,1.41,1.2
CURRIE,16627,6.16,48928.13,71.34,24.81,0.38,0.53,1.51,1.43
COMER,16619,6.16,48934.29,84.25,12.03,0.45,0.49,1.3,1.47
